current_state,next_state,time_since_last_state,time_for_transition,context
0-0,1-0,0.002326,0.000004,0
1-1,2-1,0.000320,0.000001,0
2-1,2-1,0.000014,0.000000,0
2-1,2-1,0.000006,0.000001,0
2-1,2-1,0.000004,0.000002,0
1-0,1-1,0.000022,0.000002,0
2-1,2-2,0.000041,0.000001,1
2-2,2-2,0.000008,0.000000,0
2-2,2-2,0.000006,0.000000,0
2-2,2-2,0.000005,0.000001,0
2-2,2-1,0.000005,0.000000,1
2-1,2-1,0.000009,0.000002,0
2-1,2-1,0.000029,0.000002,0
2-1,2-1,0.000006,0.000001,0
2-1,2-1,0.000005,0.000001,0
2-1,2-1,0.000005,0.000000,0
2-1,2-1,0.000006,0.000001,0
2-1,2-1,0.000012,0.000000,0
2-1,2-2,0.000027,0.000001,1
2-2,2-2,0.000006,0.000002,0
2-2,2-2,0.000005,0.000001,0
2-2,2-2,0.000005,0.000001,0
2-2,2-2,0.000005,0.000000,0
2-1,2-1,0.000009,0.000002,0
2-2,2-2,0.000027,0.000001,0
2-2,2-2,0.000009,0.000001,0
2-2,2-2,0.000005,0.000001,0
2-2,2-2,0.000004,0.000002,0
2-2,2-2,0.000004,0.000002,0
2-2,2-2,0.000018,0.000000,0
2-2,2-2,0.000011,0.000001,0
2-2,2-2,0.000006,0.000005,0
2-2,2-2,0.000028,0.000001,0
2-2,2-2,0.000005,0.000002,0
2-2,2-2,0.000029,0.000002,0
2-2,2-2,0.000013,0.000001,0
2-2,1-2,0.000013,0.000000,1
1-2,1-2,0.000012,0.000001,1
1-2,1-2,0.000010,0.000001,1
1-2,1-2,0.000012,0.000001,1
1-2,1-2,0.000010,0.000000,1
1-2,1-2,0.000014,0.000000,1
1-2,1-2,0.000011,0.000001,1
1-2,1-2,0.000011,0.000001,1
1-2,1-2,0.000011,0.000000,1
1-2,1-2,0.000011,0.000001,1
1-2,1-2,0.000012,0.000000,1
1-2,1-2,0.000013,0.000001,1
1-2,1-2,0.000010,0.000001,1
1-2,1-2,0.000011,0.000001,1
1-2,1-2,0.000011,0.000000,1
1-2,1-2,0.000013,0.000000,1
1-2,1-2,0.000011,0.000001,1
1-2,1-2,0.000011,0.000001,1
1-2,1-2,0.000011,0.000001,1
1-2,1-2,0.000011,0.000000,1
1-2,1-2,0.000012,0.000002,1
1-2,1-2,0.000010,0.000000,1
1-2,1-2,0.000012,0.000001,1
1-2,1-2,0.000011,0.000000,1
1-2,1-2,0.000012,0.000000,1
1-2,1-2,0.000012,0.000002,1
1-2,1-2,0.000010,0.000000,1
1-2,1-2,0.000012,0.000001,1
1-2,1-2,0.000011,0.000000,1
1-2,1-2,0.000012,0.000001,1
